return,PE,industry,location,mv
0.77,55.05,装修装饰,江苏,         28.53亿
2.13,54.95,生物制药,吉林,        772.58亿
-3.92,54.85,汽车配件,安徽,          8.09亿
9.96,54.84,仓储物流,广东,         30.34亿
0.71,54.79,电气设备,广东,         34.81亿
2.68,54.68,机械基件,浙江,          6.49亿
2.17,54.68,化工原料,上海,        148.63亿
0.56,54.58,机床制造,浙江,         37.53亿
1.77,54.56,元器件,广东,         71.21亿
-0.31,54.55,汽车配件,上海,         13.81亿
4.84,54.54,软件服务,北京,         77.44亿
3.03,54.54,通信设备,深圳,         26.21亿
1.32,54.53,环境保护,深圳,         32.37亿
4.42,54.5,电器仪表,广东,         12.91亿
0.81,54.49,汽车配件,黑龙江,         27.35亿
0,54.49,环境保护,浙江,         27.26亿
0.51,54.47,医疗保健,广东,        166.41亿
10,54.46,软件服务,四川,          9.49亿
0.84,54.44,日用化工,广东,         26.65亿
4.7,54.43,广告包装,广东,         10.84亿
1.54,54.39,广告包装,四川,         43.17亿
1.9,54.35,电气设备,江苏,          7.76亿
1.7,54.3,中成药,浙江,         17.80亿
-3.53,54.26,软件服务,北京,         40.08亿
0.74,54.14,互联网,北京,        113.20亿
3.38,54.13,航空,广东,         30.56亿
6.33,54.06,航空,山东,        127.25亿
-1.09,54.04,化工机械,上海,         21.81亿
0.5,54.03,文教休闲,广东,        109.24亿
-1.14,54,旅游服务,辽宁,         52.59亿
1.39,53.74,广告包装,浙江,          7.68亿
3.41,53.71,证券,北京,        150.62亿
0.89,53.7,铝,北京,        372.63亿
5.05,53.54,元器件,湖北,         21.71亿
3.75,53.54,通信设备,四川,         63.44亿
2.93,53.44,环境保护,北京,         27.48亿
1.74,53.44,影视音像,陕西,         62.09亿
-1.19,53.4,汽车整车,山东,         39.43亿
0.51,53.29,小金属,上海,         22.36亿
0.71,53.23,IT设备,广东,         42.93亿
2.47,53.23,软件服务,河南,         25.27亿
0.42,53.23,供气供热,新疆,         14.47亿
6.45,53.21,汽车配件,广东,         18.44亿
2.52,53.12,矿物制品,河南,         33.86亿
-2.58,53.1,食品,四川,         95.61亿
1.17,53.1,半导体,上海,         11.19亿
6.4,53.09,元器件,深圳,         19.05亿
0.32,53.08,软件服务,深圳,         60.56亿
1.78,52.91,环境保护,山东,          7.00亿
2.57,52.9,元器件,广东,         16.92亿
2.47,52.87,电器仪表,深圳,        230.66亿
2.55,52.79,航空,黑龙江,        284.84亿
1.04,52.71,工程机械,辽宁,         11.10亿
1.79,52.71,化学制药,浙江,         27.09亿
-0.39,52.33,电器仪表,江苏,         24.25亿
0.8,52.32,铅锌,四川,         51.41亿
2.65,52.26,电器仪表,深圳,        389.31亿
0.99,52.26,建筑工程,浙江,          6.65亿
2.41,52.25,软件服务,广东,         15.66亿
2.09,52.18,元器件,浙江,         31.01亿
1.87,52.12,软件服务,深圳,        128.27亿
4.7,52.08,半导体,湖北,        800.19亿
0.84,52.03,广告包装,浙江,         42.56亿
2.4,52.02,全国地产,北京,         17.37亿
1.03,51.97,互联网,北京,         30.46亿
-1.99,51.95,医疗保健,福建,         23.65亿
-0.29,51.87,专用机械,安徽,        134.63亿
4.9,51.85,化工原料,山东,         13.51亿
1.48,51.81,软件服务,深圳,         65.94亿
3,51.7,元器件,深圳,        177.35亿
2.4,51.67,元器件,山东,        578.32亿
4.12,51.56,路桥,海南,         36.71亿
1.66,51.48,园区开发,四川,         18.37亿
-0.03,51.4,生物制药,山西,         86.88亿
1.27,51.37,服饰,北京,         34.65亿
0.71,51.35,元器件,深圳,       1975.01亿
0.44,51.32,电气设备,贵州,         14.85亿
1.03,51.3,石油开采,北京,         22.63亿
0.88,51.23,汽车整车,内蒙,         31.04亿
-1.22,51.2,医药商业,湖南,        276.56亿
4.04,51.16,专用机械,深圳,         19.19亿
-1.73,51.12,通信设备,上海,         15.47亿
0.96,51.07,元器件,北京,         20.75亿
0.03,51.02,医疗保健,山东,         20.82亿
-0.69,51.01,房产服务,重庆,         13.21亿
0.28,50.87,运输设备,北京,         93.89亿
1.1,50.73,全国地产,广东,         31.32亿
3.17,50.65,元器件,江西,         22.19亿
-0.55,50.62,化学制药,湖南,         77.24亿
0.87,50.59,白酒,湖南,        124.12亿
1.64,50.58,机械基件,江苏,          8.05亿
2.03,50.55,通信设备,江苏,         57.47亿
1.15,50.55,元器件,深圳,          8.70亿
0.9,50.53,专用机械,北京,         66.19亿
-0.99,50.28,家用电器,广东,         11.54亿
1.04,50.27,化工原料,江苏,         10.90亿
1.21,50.26,证券,河南,         90.68亿
1.63,50.25,软件服务,浙江,         19.79亿
0.67,50.19,机械基件,浙江,         12.50亿
0.99,50.11,互联网,深圳,         64.60亿
0.34,49.96,橡胶,云南,         11.26亿
1.33,49.89,汽车配件,浙江,         17.48亿
1.66,49.88,电气设备,深圳,         21.90亿
-0.13,49.78,陶瓷,广东,         19.68亿
1.13,49.78,医疗保健,江苏,          7.52亿
0.61,49.7,服饰,浙江,         52.50亿
0.39,49.7,元器件,深圳,        112.80亿
1.28,49.68,专用机械,江苏,          9.15亿
-2.13,49.62,化学制药,江苏,        153.15亿
3.46,49.61,专用机械,山西,         29.69亿
2.1,49.6,橡胶,深圳,         22.82亿
1.47,49.56,软件服务,上海,        293.33亿
0.17,49.55,矿物制品,山西,         65.38亿
2.15,49.53,元器件,广东,         15.07亿
2.82,49.52,化学制药,浙江,         11.20亿
1.06,49.39,染料涂料,福建,         30.67亿
1.86,49.38,塑料,安徽,         48.57亿
2.88,49.26,汽车配件,浙江,          6.55亿
0.45,49.1,电气设备,上海,         43.65亿
5.54,49.08,元器件,江苏,         18.70亿
0.29,49.06,机械基件,上海,         36.11亿
2.9,49.05,电气设备,北京,         18.59亿
1.75,49.03,软件服务,上海,         40.09亿
0.84,48.98,渔业,山东,         34.92亿
0,48.96,小金属,河南,        664.23亿
2.06,48.94,半导体,上海,        106.87亿
1.55,48.94,IT设备,上海,         25.12亿
5.34,48.92,通信设备,上海,         19.33亿
3.38,48.87,机场,广东,        373.31亿
2.39,48.81,软件服务,江苏,        101.95亿
1.75,48.81,软件服务,北京,         47.82亿
6.13,48.6,软件服务,北京,        156.36亿
1.51,48.54,环境保护,北京,        161.63亿
1.69,48.53,中成药,广西,         32.07亿
1.43,48.52,陶瓷,山东,        170.39亿
1.2,48.49,建筑工程,浙江,          8.50亿
4.85,48.38,专用机械,江苏,         50.09亿
3.95,48.33,半导体,深圳,         23.75亿
2,48.26,元器件,深圳,         11.74亿
2.46,48.21,化学制药,江苏,         35.47亿
5.63,48.15,软件服务,山东,         40.25亿
